Date,Open,High,Low,Close,Adj Close,Volume
2020-07-20,120.279999,120.440002,119.519997,119.519997,101.056351,21373
2020-07-21,120.290001,120.599998,120.059998,120.599998,101.969505,15982
2020-07-22,120.669998,122.000000,120.669998,122.000000,103.153244,15198
2020-07-23,122.000000,123.500000,120.809998,121.599998,102.815033,18903
2020-07-24,122.489998,122.489998,119.900002,120.400002,101.800415,18814
2020-07-27,120.760002,121.800003,120.400002,120.750000,102.096344,13662
2020-07-28,122.290001,122.290001,120.750000,120.900002,102.223175,10744
2020-07-29,121.000000,121.500000,120.129997,120.300003,101.715843,14500
2020-07-30,120.489998,122.900002,120.400002,122.199997,103.322334,14970
2020-07-31,122.379997,122.500000,121.260002,121.779999,102.967216,10495
2020-08-03,122.000000,123.489998,122.000000,122.339996,103.440712,16292
2020-08-04,122.480003,123.449997,122.480003,123.239998,104.201691,14696
2020-08-05,123.440002,124.150002,123.089996,123.940002,104.793541,10884
2020-08-06,123.949997,125.449997,123.949997,125.099998,105.774338,11849
2020-08-07,125.209999,127.400002,125.209999,127.389999,107.710587,12805
2020-08-10,126.230003,126.500000,125.500000,125.980003,106.518402,18565
2020-08-11,127.000000,128.399994,125.650002,126.000000,106.535309,19570
2020-08-12,125.879997,125.879997,125.000000,125.019997,105.706696,14588
2020-08-13,125.000000,125.000000,123.410004,124.000000,104.844292,20902
2020-08-14,124.180000,128.240005,124.000000,127.000000,107.380829,21163
2020-08-17,127.000000,128.979996,126.150002,126.410004,106.881981,20789
2020-08-18,127.570000,127.570000,125.589996,126.459999,106.924248,20147
2020-08-19,126.480003,127.199997,126.000000,126.739998,107.160988,14929
2020-08-20,127.000000,127.500000,126.099998,127.500000,107.803589,12936
2020-08-21,127.480003,128.449997,126.839996,128.399994,108.564568,10948
2020-08-24,128.460007,130.000000,128.009995,129.929993,109.858192,25369
2020-08-25,129.940002,130.990005,129.899994,129.979996,109.900475,15457
2020-08-26,130.210007,130.960007,129.500000,130.190002,110.078041,13349
2020-08-27,130.320007,130.979996,129.800003,129.809998,109.756729,10880
2020-08-28,130.690002,131.100006,127.959999,128.020004,108.243271,40112
2020-08-31,129.000000,129.800003,127.980003,128.199997,108.395454,25441
2020-09-01,128.600006,130.330002,128.199997,129.960007,109.883568,18057
2020-09-02,129.800003,130.490005,129.529999,130.479996,110.323212,11929
2020-09-03,130.449997,130.490005,128.899994,129.100006,109.156418,31801
2020-09-04,129.380005,130.199997,129.000000,129.220001,109.257904,30871
2020-09-08,130.380005,130.380005,129.119995,129.639999,109.612991,29303
2020-09-09,130.000000,130.990005,128.990005,129.050003,109.114151,33424
2020-09-10,129.399994,129.970001,126.000000,127.419998,107.735947,54464
2020-09-11,128.289993,128.289993,124.739998,125.099998,105.774338,68538
2020-09-14,125.239998,127.269997,125.019997,125.500000,106.112556,43490
2020-09-15,126.489998,126.489998,125.000000,125.500000,106.112556,73779
2020-09-16,126.000000,126.250000,124.919998,125.000000,105.689781,113376
2020-09-17,122.900002,125.199997,121.949997,125.169998,105.833534,46429
2020-09-18,125.169998,126.879997,125.029999,126.580002,107.025726,32507
2020-09-21,126.790001,127.440002,125.800003,127.059998,107.431557,41558
2020-09-22,127.059998,127.900002,126.500000,127.699997,107.972710,29088
2020-09-23,127.699997,127.879997,126.000000,126.970001,107.355461,30099
2020-09-24,126.989998,127.599998,126.970001,127.550003,107.845871,24581
2020-09-25,127.540001,127.849998,126.889999,127.040001,107.414650,29836
2020-09-28,127.070000,127.599998,126.500000,127.300003,107.634476,41313
2020-09-29,127.300003,127.790001,127.300003,127.790001,108.048790,46990
2020-09-30,127.800003,130.490005,127.800003,130.490005,110.331696,34808
2020-10-01,130.500000,132.000000,130.500000,131.970001,111.583069,40155
2020-10-02,131.979996,131.979996,131.020004,131.960007,111.574600,26465
2020-10-05,131.960007,132.729996,130.949997,132.300003,111.862068,36757
